language	method	confidence	file
Russian	content-text	high	3. adzhindzhal_diavol_s_mechom_2013.pdf
Russian	content-text	high	30. Gogua_Tom_2.pdf
Russian	content-text	high	4. Amarshan_V_Apskha_2012.pdf
Russian	content-text	high	44. Zantaria_V_I_mir_oskudeet_kogda_my_uidem_2016.pdf
Russian	content-text	high	45. zantaria_v_klyuchevye_mysli_2016.pdf
Russian	content-text	high	47. Zantaria_V_Putin_i_Abkhazia_2018.pdf
Russian	content-text	high	51. zukhba_s_izbrannye_trudy_I_2014.pdf
Russian	content-text	high	58. 3 Inal-Ipa_Trudy_v_11_tomah_T_3_Voprosy_etnokulturnoy_istorii_abkhazov.pdf
Russian	content-text	high	59. Inal_ipa_Ubykhi_2015.pdf
Russian	content-text	high	60. iskander_gornye_tropy_1957.pdf
Russian	content-text	high	61. iskander_zeleny_dozhd_1960__ocr.pdf
Russian	content-text	high	62. iskander_letny_les_1969.pdf
Russian	content-text	high	66. kutarba_h_izgnanie_2011_abh.pdf
Russian	content-text	high	7. Alamia_Alypshaah_.pdf
Russian	content-text	high	70. lakerbai_m_abkhazskie_novelly_2014.pdf
Russian	content-text	high	72. Lakoba_S_Izbrannoe.pdf
Russian	content-text	high	75. Lasuria_A_Zhit_kak_solntse_2017.pdf
Russian	content-text	high	76. Lasuria_R_Izbrannoe_2011.pdf
Russian	content-text	high	77. lasuria_m_zolotoe_runo_2014.pdf
Russian	content-text	high	78. Lasuria_M_Otchizna_2018.pdf
Russian	content-text	high	79. Lasuria_M_Zvezda_rassveta_2019.pdf
Russian	content-text	high	8. Argun_Istoriya_Abkhazskogo_teatra_sm.pdf
Russian	content-text	high	81. Otyrba_N_Mir_lestnitsa.pdf
Russian	content-text	high	87. D.Nachkebia_Bereg_Nochi_rus_2012.pdf
Russian	content-text	high	92. Salakaya_Sh_Izbrannye_trudy_III_2019.pdf
Russian	content-text	high	96. Tarba_Ivan_Solntse_vstaet_u_nas.pdf
Russian	content-text	high	97. N.Tarba_Kaplia_v_more.pdf
Russian	content-text	high	98. Chania_T_Sobranie_sochineny_Tom_I.pdf
Russian	content-text	high	98. N.Tarba_Volshebnoe_utro.pdf
Russian	content-text	high	99. Chania_T_Sobranie_sochineny_tom_II.pdf
Russian	content-text	high	Labakhua-Sochinenja.pdf
Russian	content-text	high	Mikaja-2.pdf
Russian	content-text	high	Mikaja-3.pdf
Russian	content-text	high	Papaskir-3.pdf
Russian	content-text	high	Tarba-1.pdf
Russian	content-text	high	Tarba-3.pdf
Russian	content-text	high	smyr-2.pdf
Russian	content-text	high	smyr-3.pdf
Abkhazian	filename-tag	high	101. Chkadua_P_Novoe_pobezhdaet_1932_abh.pdf
Abkhazian	filename-tag	high	2. agumaa_k_izbrannoe_abkh_1976.pdf
Abkhazian	filename-tag	high	24. bebia_e_tvoi_slavnye_syny_kutol_abh_1996.pdf
Abkhazian	filename-tag	high	26. biguaa_v_a_v_kontse_veka_abh_1966.pdf
Abkhazian	filename-tag	high	44. darsalia_d_v_gluhoi_starine_1981_abh.pdf
Abkhazian	filename-tag	high	45. darsalia_d_iz_zhizni_1982_abh.pdf
Abkhazian	filename-tag	high	48. demerdzh_ipa_o_stikhi_i_stati_abh_1958.pdf
Abkhazian	filename-tag	high	53. inal_ipa_sh_tropami_k_vershinam_1975_abh.pdf
Abkhazian	filename-tag	high	57. Kogonia_V_Nebesnaya_zhizn_1986_abh.pdf
Abkhazian	filename-tag	high	65. Kapba_R_V_mire_dukhovnosti_2014_abh.pdf
Abkhazian	filename-tag	high	67. kuchberia_s_sochinenia_abh_1958.pdf
Abkhazian	filename-tag	high	83. Pachalia_Sh_Maritsa_1988_abh.pdf
Abkhazian	filename-tag	high	90. Tarba_I_Govorit_serdce_1954_abkh.pdf
Abkhazian	filename-tag	high	91. Tarba_I_Dobroy_vstrechi_1955_abkh.pdf
Russian	scan-heuristic(high)	high	104. tsvinaria_v_abkhazskoe_stikhoslozhenie_1987.pdf
Abkhazian	scan-heuristic(med)	med	106. chanba_s_seidyk_1935.pdf
Abkhazian	scan-heuristic(low)	low	107. tchanba_s_izbrannoe_1960.pdf
Russian	scan-heuristic(high)	high	110. Chachkhalia_D_Abkhazskaya_Pravoslavnaya_Tserkov_1997.pdf
Russian	scan-heuristic(high)	high	111. chachkhalia_d_khronika_abkhazskikh_tsarei_2000.pdf
Russian	scan-heuristic(low)	low	114. tchatchkhalia_k_serdtse_govorit_1959.pdf
Russian	scan-heuristic(med)	med	115. Shariya_V_Abkhazskie_yabloki_1986.pdf
Russian	scan-heuristic(med)	med	116. Shariya_V_Na_solnechnoy_storone_ulitzy_1990.pdf
Russian	scan-heuristic(low)	low	16. khashba_m_v_dni_vesennie.pdf
Russian	scan-heuristic(high)	high	17. bgazhba_khukhut_bzybsky_dialekt_abkhazskogo_jazyka_1964.pdf
Russian	scan-heuristic(high)	high	18. Bgazhba_Iz_istorii_pismennosti_v_Abkhazii.pdf
Russian	scan-heuristic(high)	high	22----. biguaa_v_a_abkhazskaiya_literatura_v_istoriko_kulturnom_kontekste_1999.pdf
Russian	scan-heuristic(med)	med	23. bgazhba_kh_perevody_i_pereskazy.pdf
Russian	scan-heuristic(high)	high	31. Gulia_Georgy_Dmitry_Gulia_ZhZL.pdf
Russian	scan-heuristic(low)	low	32. Gabelia_Moy_put_moy_sled.pdf
Abkhazian	scan-heuristic(med)	med	33. Dmitry_Gulia_Sobranie_sochineniy_T.6.pdf
Russian	scan-heuristic(high)	high	34. darsalia_v_abhazskaia_sovetskaia_dramaturgia_1968.pdf
Russian	scan-heuristic(low)	low	35. darsalia_v_v_byt_chelovekom_1982.pdf
Russian	scan-heuristic(high)	high	36. dzhapua_abkhazskie_arhaicheskie_skazaniya_o_sasrykua_i_abryskile.pdf
Russian	scan-heuristic(med)	med	39. dzyba_e_krasnaja_ptitsa_1976.pdf
Abkhazian	scan-heuristic(med)	med	39. gulia_d_sobranie_sochineny_v_6_tomakh_tom_1_1981.pdf
Russian	scan-heuristic(med)	med	40. dzyba_e_lyubov_k_samoletu_1979.pdf
Russian	scan-heuristic(med)	med	41. dzyba_e_polet_lyubvi_1982.pdf
Abkhazian	scan-heuristic(med)	med	41. gulia_d_sobranie_sotchineny_tom_3_1983.pdf
Russian	scan-heuristic(med)	med	42. dzyba_e_aprel_mechty_1984.pdf
Abkhazian	scan-heuristic(med)	med	42. gulia_d_sobranie_sotchineny_tom_4_1984.pdf
Russian	scan-heuristic(low)	low	43. dzyba_e_exlibris_1988.pdf
Abkhazian	scan-heuristic(med)	med	43. gulia_d_sobranie_sotchineny_tom_5_1985.pdf
Russian	scan-heuristic(med)	med	47. delba_s_kljanjas_toboy_zemlya_rodnaja_1996.pdf
Russian	scan-heuristic(low)	low	5. kove_m_vzoshedshaia_zvezda.pdf
Russian	scan-heuristic(med)	med	50. zukhba_s_abkhazskaja_narodnaja_skazka.pdf
Russian	scan-heuristic(high)	high	52. zukhba_s_mifologia_abkhazo_adygskikh_narodov_2007.pdf
Russian	scan-heuristic(high)	high	53. inal_ipa_sh_ob_etnogeneze_drevneabhazskih_plemen_1964.pdf
Russian	scan-heuristic(high)	high	55. Inal-Ipa_Voprosy_ethno-kulturnoy_istorii_Abkhazii.pdf
Russian	scan-heuristic(high)	high	56. Inal-Ipa_Antroponimia_Abkhazov_2002.pdf
Russian	scan-heuristic(high)	high	57. Inal_ipa_Sch_Zarubezhnye_abkhazy.pdf
Russian	scan-heuristic(high)	high	6. Anshba_A_Abkhazsky_folklor_i_deystvitelnost.pdf
Russian	scan-heuristic(med)	med	67. Lakerbai_Y_Ekho_rodnykh_gor_1962.pdf
Russian	scan-heuristic(high)	high	68. lakerbay_m_ocherki_istorii_abkhazskogo_teatralnogo_iskusstva_1957.pdf
Russian	scan-heuristic(high)	high	71. lakoba_s_abkhaziya_v_gody_pervoy_rossyskoy_revolyutsii_1985.pdf
Russian	scan-heuristic(med)	med	73. Lakoba_Krylilis_dni_v_Sukhum-Kale_1988.pdf
Russian	scan-heuristic(high)	high	74. lakoba_s_ocherki_politicheskoy_istorii_abkhazii.pdf
Russian	scan-heuristic(low)	low	76. lasuria_m_forel_i_solovey.pdf
Russian	scan-heuristic(high)	high	84. lyubtchenko_l_abkhazy_abkhazy_vy_pravy_1993.pdf
Russian	scan-heuristic(med)	med	85. lyubchenko_l_doroga_v_khoroshy_den_1965.pdf
Russian	scan-heuristic(low)	low	86. mukba_a_volshebnoe_kopio_1988.pdf
Russian	scan-heuristic(med)	med	88. papaskiri_g_na_beregu_moria_1983.pdf
Russian	scan-heuristic(med)	med	9. argun_a_kh_gory_smotriatsia_v_more_1986.pdf
Russian	scan-heuristic(med)	med	90. Papaskir_M_Nesgibaemy_Eshsou_1983.pdf
Russian	scan-heuristic(low)	low	93. Saretsian_A_Izbrannoe_I_2018.pdf
Russian	scan-heuristic(med)	med	99. khvartskia_i_abkhazskie_predania_2007.pdf
Abkhazian	scan-heuristic(high)	high	Ahuba-1.pdf
Abkhazian	scan-heuristic(med)	med	Lomia-1.pdf
Abkhazian	scan-heuristic(low)	low	lakerbay-sochineny.pdf
Abkhazian	scan-heuristic(low)	low	tarba-2.pdf
Abkhazian	scan-heuristic(low)	low	tarba-4.pdf
