RU1	%
RU851	Олени
RU852	уже
RU853	близко.
RU854	Долгожданный
RU855	шанс.
RU856	Охота
RU857	началась.
RU858	Появление
RU859	волка
RU860	вызывает
RU861	в
RU862	стаде
RU863	панику,
RU864	и
RU865	слабые
RU866	и
RU867	молодые
RU868	отделяются
RU869	от
RU870	стада.
RU871	А
RU872	один
RU873	из
RU874	детёнышей
RU875	отбился
RU876	от
RU877	матери.
RU878	Теперь
RU879	несчастному
RU880	не
RU881	спастись.
RU882	Ну,
RU883	волку
RU884	же
RU885	тоже
RU886	нужно
RU887	есть.
RU888	Что
RU889	поделаешь.
RU890	В
RU891	колонии
RU892	гусей
RU893	разгар
RU894	лета,
RU895	и
RU896	из
RU897	яиц
RU898	вылупляются
RU899	птенцы.
RU900	Все
RU901	птенцы
RU902	появляются
RU903	на
RU904	свет
RU905	одновременно,
RU906	в
RU907	течение
RU908	двух
RU909	дней.
RU910	Теперь
RU911	численность
RU912	колонии
RU913	увеличилась
RU914	на
RU915	миллион
RU916	гусят.
RU917	А
RU918	песец
RU919	по-прежнему
RU920	запасается
RU921	пищей.
RU922	Иногда
RU923	ему
RU924	одного
RU925	рта
RU926	явно
RU927	не
RU928	хватает.
RU929	Хочется
RU930	взять
RU931	больше
RU932	одного
RU933	птенца.
RU934	Но
RU935	тут
RU936	родители.
RU937	Хищник
RU938	настойчив.
RU939	Но
RU940	на
RU941	этот
RU942	раз
RU943	одного
RU944	птенца
RU945	должно
RU946	хватить.
RU947	Не
RU948	вся
RU949	еда
RU950	откладывается
RU951	про
RU952	запас,
RU953	какую-то
RU954	часть
RU955	нужно
RU956	употребить
RU957	прямо
RU958	сейчас.
RU959	У
RU960	самки
RU961	семеро
RU962	голодных
RU963	детёнышей.
RU964	Их
RU965	аппетиты
RU966	растут,
RU967	и
RU968	матери
RU969	приходится
RU970	без
RU971	устали
RU972	добывать
RU973	для
RU974	них
RU975	пищу.
RU976	Только
RU977	упитанные,
RU978	здоровые
RU979	детёныши
RU980	смогут
RU981	пережить
RU982	арктическую
RU983	зиму.
RU984	В
RU985	такой
RU986	огромной
RU987	колонии
RU988	большинство
RU989	гусят
RU990	целы
RU991	и
RU992	невредимы.
RU993	Убедившись,
RU994	что
RU995	они
RU996	достаточно
RU997	окрепли
RU998	для
